2023-03-23 23:12:34,816 INFO    StreamThr :6377 [internal.py:wandb_internal():91] W&B internal server running at pid: 6377, started at: 2023-03-23 23:12:34.815743
2023-03-23 23:12:34,819 DEBUG   HandlerThread:6377 [handler.py:handle_request():139] handle_request: status
2023-03-23 23:12:34,822 DEBUG   SenderThread:6377 [sender.py:send_request():317] send_request: status
2023-03-23 23:12:34,824 INFO    WriterThread:6377 [datastore.py:open_for_write():75] open: /home/public/xww/Exp/fldemo/fed_exp/wandb/offline-run-20230323_231234-33ky9e72/run-33ky9e72.wandb
2023-03-23 23:12:34,836 DEBUG   HandlerThread:6377 [handler.py:handle_request():139] handle_request: run_start
2023-03-23 23:12:34,841 DEBUG   HandlerThread:6377 [system_info.py:__init__():31] System info init
2023-03-23 23:12:34,841 DEBUG   HandlerThread:6377 [system_info.py:__init__():46] System info init done
2023-03-23 23:12:34,841 INFO    HandlerThread:6377 [system_monitor.py:start():150] Starting system monitor
2023-03-23 23:12:34,841 INFO    SystemMonitor:6377 [system_monitor.py:_start():116] Starting system asset monitoring threads
2023-03-23 23:12:34,842 INFO    HandlerThread:6377 [system_monitor.py:probe():168] Collecting system info
2023-03-23 23:12:34,842 INFO    SystemMonitor:6377 [interfaces.py:start():168] Started cpu
2023-03-23 23:12:34,843 INFO    SystemMonitor:6377 [interfaces.py:start():168] Started disk
2023-03-23 23:12:34,843 INFO    SystemMonitor:6377 [interfaces.py:start():168] Started gpu
2023-03-23 23:12:34,844 INFO    SystemMonitor:6377 [interfaces.py:start():168] Started memory
2023-03-23 23:12:34,846 INFO    SystemMonitor:6377 [interfaces.py:start():168] Started network
2023-03-23 23:12:34,855 DEBUG   HandlerThread:6377 [system_info.py:probe():195] Probing system
2023-03-23 23:12:34,862 DEBUG   HandlerThread:6377 [system_info.py:_probe_git():180] Probing git
2023-03-23 23:12:34,876 DEBUG   HandlerThread:6377 [system_info.py:_probe_git():188] Probing git done
2023-03-23 23:12:34,876 DEBUG   HandlerThread:6377 [system_info.py:probe():241] Probing system done
