2022-12-13 19:12:07,281 INFO    StreamThr :22268 [internal.py:wandb_internal():91] W&B internal server running at pid: 22268, started at: 2022-12-13 19:12:07.280531
2022-12-13 19:12:07,284 DEBUG   HandlerThread:22268 [handler.py:handle_request():139] handle_request: status
2022-12-13 19:12:07,287 DEBUG   SenderThread:22268 [sender.py:send_request():317] send_request: status
2022-12-13 19:12:07,289 INFO    WriterThread:22268 [datastore.py:open_for_write():75] open: /home/public/xww/Exp/fldemo/fed_exp/wandb/offline-run-20221213_191207-27x68sd2/run-27x68sd2.wandb
2022-12-13 19:12:07,300 DEBUG   HandlerThread:22268 [handler.py:handle_request():139] handle_request: run_start
2022-12-13 19:12:07,308 DEBUG   HandlerThread:22268 [system_info.py:__init__():31] System info init
2022-12-13 19:12:07,308 DEBUG   HandlerThread:22268 [system_info.py:__init__():46] System info init done
2022-12-13 19:12:07,308 INFO    HandlerThread:22268 [system_monitor.py:start():150] Starting system monitor
2022-12-13 19:12:07,309 INFO    SystemMonitor:22268 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-12-13 19:12:07,309 INFO    HandlerThread:22268 [system_monitor.py:probe():168] Collecting system info
2022-12-13 19:12:07,310 INFO    SystemMonitor:22268 [interfaces.py:start():168] Started cpu
2022-12-13 19:12:07,310 INFO    SystemMonitor:22268 [interfaces.py:start():168] Started disk
2022-12-13 19:12:07,312 INFO    SystemMonitor:22268 [interfaces.py:start():168] Started gpu
2022-12-13 19:12:07,313 INFO    SystemMonitor:22268 [interfaces.py:start():168] Started memory
2022-12-13 19:12:07,314 INFO    SystemMonitor:22268 [interfaces.py:start():168] Started network
2022-12-13 19:12:07,324 DEBUG   HandlerThread:22268 [system_info.py:probe():195] Probing system
2022-12-13 19:12:07,329 DEBUG   HandlerThread:22268 [system_info.py:_probe_git():180] Probing git
2022-12-13 19:12:07,341 DEBUG   HandlerThread:22268 [system_info.py:_probe_git():188] Probing git done
2022-12-13 19:12:07,341 DEBUG   HandlerThread:22268 [system_info.py:probe():241] Probing system done
